0	1	-70.0
1	0	-70.0

0	2	-50.0
2	0	-50.0

3	1	-40.0
1	3	-40.0

2	4	-65.0
4	2	-65.0

2	5	-40.0
5	2	-40.0

6	3	-60.0
3	6	-60.0

7	4	-40.0
4	7	-40.0

8	6	-50.0
6	8	-50.0

9	6	-50.0
6	9	-50.0

10	7	-35.0
7	10	-35.0

11	7	-60.0
7	11	-60.0

12	7	-60.0
7	12	-60.0



1	4	-70.0
4	1	-70.0

1	7	-70.0
7	1	-70.0

3	7	-60.0
7	3	-60.0

4	5	-60.0
5	4	-60.0

4	12	-30.0
12	4	-30.0

4	11	-60.0
11	4	-60.0

4	10	-65.0
10	4	-65.0

6	7	-60.0
7	6	-60.0

6	9	-55.0
9	6	-55.0

7	9	-50.0
9	7	-50.0

8	9	-50.0
9	8	-50.0

9	10	-40.0
10	9	-40.0

9	11	-70.0
11	9	-70.0

10	11	-20.0
11	10	-20.0

10	12	-40.0
12	10	-40.0

11	12	-15.0
12	11	-15.0
